tier,key,min_levels,max_levels,max_neighbours,tags
1,budynek jednorodzinny,,,0,building=detached
1,budynek jednorodzinny,,,,building=house
1,dom letniskowy,,,,building=bungalow
1,budynek wielorodzinny,,,,building=apartments
1,domek kempingowy,,,,building=cabin
1,dom wypoczynkowy,,,,building=hotel
1,dom opieki społecznej,,,,building=residential
1,pensjonat,,,,building=hotel
1,internat lub bursa szkolna,,,,building=dormitory
1,leśniczówka,,,,building=house
1,ośrodek szkoleniowo-wypoczynkowy,,,,building=yes;fixme=BDOT10k: ośrodek szkoleniowo-wypoczynkowy
1,zajazd,,,,building=hotel
1,placówka opiekuńczo-wychowawcza,,,,building=residential
1,dom studencki,,,,building=dormitory
1,bacówka,,,,building=hut
1,dom dziecka,,,,building=residential
1,schronisko turystyczne,,,,building=yes;fixme=BDOT10k: schronisko turystyczne
1,motel,,,,building=hotel
1,dom dla bezdomnych,,,,building=residential
1,hotel robotniczy,,,,building=dormitory
1,hotel,,,,building=hotel
1,budynek gospodarczy,,,,building=outbuilding
1,garaż,,,,building=garage
1,budynek produkcyjny zwierząt hodowlanych,,,,building=farm_auxiliary
1,szklarnia lub cieplarnia,,,,building=greenhouse
1,silos,,,,building=silo;man_made=silo
1,stajnia,,,,building=stable
1,młyn,,,,building=yes;fixme=BDOT10k: młyn
1,elewator,,,,building=silo;man_made=silo
1,chłodnia,,,,building=warehouse
1,wiatrak,,,,building=yes;man_made=windmill
1,ujeżdżalnia,,,,building=riding_hall
1,obiekt handlowo-usługowy,,,,building=retail
1,siedziba firmy lub firm,,,,building=office
1,restauracja,,,,building=yes;fixme=BDOT10k: restauracja
1,dom towarowy lub handlowy,,,,building=retail
1,stacja paliw,,,,building=retail
1,stacja obsługi pojazdów,,,,building=service
1,dom weselny,,,,building=commercial
1,bank,,,,building=commercial
1,hipermarket lub supermarket,,,,building=supermarket
1,apteka,,,,building=retail
1,placówka operatora pocztowego,,,,building=commercial
1,myjnia samochodowa,,,,building=service
1,klinika weterynaryjna,,,,building=commercial
1,centrum handlowe,,,,building=retail
1,"klub, dyskoteka",,,,building=commercial
1,budynek spedycji,,,,building=warehouse
1,centrum konferencyjne,,,,building=commercial
