teryt_simc_code,prg_street_name,osm_street_name
,1-go Maja,1 Maja
,1. Dywizji Pancernej,1 Dywizji Pancernej
,11 Listopada 1918 r.,11 Listopada 1918 roku
,11 stycznia 1919 r.,11 stycznia 1919 roku
,11-go Listopada,11 Listopada
,14 Dywizji Piechoty Wlkp.,14 Dywizji Piechoty Wielkopolskiej
,14 Lutego 1942 r.,14 Lutego 1942 roku
,16 Pułku Ułanów Wlkp.,16 Pułku Ułanów Wielkopolskich
,20 Stycznia 1920 r.,20 Stycznia 1920 roku
,21-go Stycznia,21 Stycznia
,22 Stycznia 1863 r.,22 Stycznia 1863 roku
,27 Grudnia 1918 r.,27 Grudnia 1918 roku
,27-go Stycznia,27 Stycznia
,28 Czerwca 1956 r.,28 Czerwca 1956 roku
,3 Maja 1791 r.,3 Maja 1791 roku
,3-go Maja,3 Maja
,3. Pułku Lotniczego,3 Pułku Lotniczego
,4 Stycznia 1919 r.,4 Stycznia 1919 roku
,5. Pułku Ułanów,5 Pułku Ułanów
,55.Pułku Piechoty,55 Pułku Piechoty
,56 Pułku Piechoty Wlkp.,56 Pułku Piechoty Wielkopolskiej
,6 Marca 1938 r.,6 Marca 1938 roku
,6 stycznia 1919 r.,6 stycznia 1919 roku
,61. Brygady,61 Brygady
,62 Pułku Piechoty Wlkp.,62 Pułku Piechoty Wielkopolskiej
,63. Pułku Piechoty,63 Pułku Piechoty
,7 czerwca 1991 r.,7 czerwca 1991 roku
,74-go Górnośląskiego Pułku Piechoty,74 Górnośląskiego Pułku Piechoty
,8 Maja 1945 r.,8 Maja 1945 roku
,8 Maja 1945r.,8 Maja 1945 roku
,9-go Maja,9 Maja
,A. Abrahama,Antoniego Abrahama
,A. Asnyka,Adama Asnyka
,A. Bożka,Arki Bożka
,A. Dygasińskiego,Adolfa Dygasińskiego
,A. F. Modrzewskiego,Andrzeja Frycza Modrzewskiego
,A. Filemonowicza,Adama Filemonowicza
,A. Fredry,Aleksandra Fredry
,A. G. Bema,Antoniego Gustawa Bema
,A. Grottgera,Artura Grottgera
,A. Hoffmana,Alfonsa Hoffmana
,A. Hryniewickiego,Antoniego Hryniewickiego
,A. K. Czartoryskiego,Adama Kazimierza Czartoryskiego
,A. Lewandowica Strzeżowczyka,Adama Lewandowica Strzeżowczyka
,A. Majkowskiego,Aleksandra Majkowskiego
,A. Mickiewicza,Adama Mickiewicza
,A. Morsztyna,Andrzeja Morsztyna
,A. Osieckiej,Agnieszki Osieckiej
,A. Renarda,Andrzeja Renarda
,A. Rudawskiego,Adama Rudawskiego
,A. Słonimskiego,Antoniego Słonimskiego
,A. Zawadzkiego,Aleksandra Zawadzkiego
,A.Majkowskiego,Aleksandra Majkowskiego
,abp. Antoniego Juliana Nowowiejskiego,Arcybiskupa Antoniego Juliana Nowowiejskiego
,abp. gen. Mirona Chodakowskiego,Arcybiskupa Generała Mirona Chodakowskiego
,Abp. Ignacego Krasickiego,Arcybiskupa Ignacego Krasickiego
,abp. Jakuba Świnki,Arcybiskupa Jakuba Świnki
,Abp. Jerzego Ablewicza,Arcybiskupa Jerzego Ablewicza
,abp. Józefa Teodorowicza,Arcybiskupa Józefa Teodorowicza
,abp. Romualda Jałbrzykowskiego,Arcybiskupa Romualda Jałbrzykowskiego
,abp. Zygmunta Felińskiego,Arcybiskupa Zygmunta Felińskiego
,adm. Andrzeja Karwety,Admirała Andrzeja Karwety
,adm. J. Unruga,Admirała Józefa Unruga
,adm. Józefa Unruga,Admirała Józefa Unruga
,adm. K. Arciszewskiego,Admirała Krzysztofa Arciszewskiego
,adm. Krzysztofa Arciszewskiego,Admirała Krzysztofa Arciszewskiego
,Al. 1 Maja,Aleja 1 Maja
,Al. 1000-lecia Państwa Polskiego,Aleja Tysiąclecia Państwa Polskiego
,Al. 11 Listopada,Aleja 11 Listopada
,al. Armii Krajowej,Aleja Armii Krajowej
,Al. Belwender,Aleja Belwender
,AL. Bukowa,Aleja Bukowa
,Al. Gen. Sikorskiego,Aleja Generała Władysława Sikorskiego
,Al. generała Władysława Sikorskiego,Aleja Generała Władysława Sikorskiego
,Al. Grunwaldzkie,Aleje Grunwaldzkie
,Al. Heleny i Ignacego Paderewskich,Aleja Heleny i Ignacego Paderewskich
,Al. Huberta,Aleja Huberta
,Al. Jana Nowaka-Jeziorańskiego,Aleja Jana Nowaka-Jeziorańskiego
,Al. Jana Pawła II,Aleja Jana Pawła II
,Al. kard. Wyszyńskiego,Aleja Kardynała Stefana Wyszyńskiego
,Al. Kasztanowa,Aleja Kasztanowa
,Al. Krakowska,Aleja Krakowska
,Al. Lipowa,Aleja Lipowa
,Al. Macieja Rataja,Aleja Macieja Rataja
,al. Marszałka Józefa Piłsudskiego,Aleja Marszałka Józefa Piłsudskiego
,Al. Matki Boskiej Różańcowej,Aleja Matki Boskiej Różańcowej
,Al. Mikołaja Kopernika,Aleja Mikołaja Kopernika
,Al. Partyzantów,Aleja Partyzantów
,Al. Róż,Aleja Róż
,Al. Solidarności,Aleja Solidarności
,Al. Spacerowa,Aleja Spacerowa
,Al. Sportowa,Aleja Sportowa
,Al. Słońca,Aleja Słońca
,Al. Wincentego Witosa,Aleja Wincentego Witosa
,Al. Wojska Polskiego,Aleja Wojska Polskiego
,al. Władysława Andersa,Aleja Władysława Andersa
,Al. Władysława Sikorskiego,Aleja Władysława Sikorskiego
,Al. Zwycięstwa,Aleja Zwycięstwa
,Al. Zwycięzców,Aleja Zwycięzców
,Aleja gen. Bronisława Prugara-Ketlinga,Aleja Generała Bronisława Prugara-Ketlinga
,Aleja gen. Grota Roweckiego,Aleja Generała Grota Roweckiego
,Aleja gen. Józefa Hallera,Aleja Generała Józefa Hallera
,Aleja gen. Ryszarda Kuklińskiego,Aleja Generała Ryszarda Kuklińskiego
,Aleja gen. Władysława Andersa,Aleja Generała Władysława Andersa
,Aleja gen. Władysława Sikorskiego,Aleja Generała Władysława Sikorskiego
,aleja Ignacego Paderewskiego,Aleja Ignacego Paderewskiego
,Aleja im. pułkownika Wojciecha Szczepańskiego,Aleja Pułkownika Wojciecha Szczepańskiego
,Aleja inż. Bohdana Łozińskiego,Aleja Inżyniera Bohdana Łozińskiego
,Aleja inż. Nowotarskiego,Aleja Inżyniera Leona Nowotarskiego
,aleja Jana Pawła II,Aleja Jana Pawła II
,Aleja ks. Druckiego-Lubeckiego,Aleja Księcia Władysława Druckiego-Lubeckiego
,Aleja ks. Franciszka Blachnickiego,Aleja Księdza Franciszka Blachnickiego
,Aleja ks. Jana Twardowskiego,Aleja Księdza Jana Twardowskiego
,Aleja Ks. Jerzego Popiełuszki,Aleja Księdza Jerzego Popiełuszki
,Aleja ks. Józefa Waląga,Aleja Księdza Józefa Waląga
,Aleja Ks. Kardynała Stefana Wyszyńskiego,Aleja Księdza Kardynała Stefana Wyszyńskiego
,Aleja ks. Konrada Pyrki,Aleja Księdza Konrada Pyrki
,Aleja ks. Myszkowskiego,Aleja Księdza Kazimierza Myszkowskiego
,aleja marsz. Józefa Piłsudskiego,Aleja Marszałka Józefa Piłsudskiego
0940335,aleja marsz. Józefa Piłsudskiego,Aleja marszałka Józefa Piłsudskiego
,Aleja Marszałka J. Piłsudskiego,Aleja Marszałka Józefa Piłsudskiego
,Aleja Marszałka Piłsudskiego,Aleja Marszałka Józefa Piłsudskiego
,aleja Niepodległości,Aleja Niepodległości
,Aleja Piłsudskiego,Aleja Marszałka Józefa Piłsudskiego
,Aleja Powstańców Wlkp.,Aleja Powstańców Wielkopolskich
,Aleja prof. Leona Mroczkiewicza,Aleja Profesora Leona Mroczkiewicza
,aleja Tysiąclecia,Aleja Tysiąclecia
,Aleja św. Jakuba,Aleja Świętego Jakuba
,Aleja św. Jana Pawła II,Aleja Świętego Jana Pawła II
,Aleja św. Katarzyny Aleksandryjskiej,Aleja Świętej Katarzyny Aleksandryjskiej
,Aleja św. Mikołaja,Aleja Świętego Mikołaja
,Aleje Prof. Sylwestra Kaliskiego,Aleje Profesora Sylwestra Kaliskiego
,Alfonsa T. Olszaka,Alfonsa Tadeusza Olszaka
,Andersena,Jana Christiana Andersena
,Andrzeja Frycza Modrzewskiego,Frycza Modrzewskiego
,Asnyka,Adama Asnyka
,B. Chrobrego,Bolesława Chrobrego
,B. Czecha,Bronisława Czecha
,B. Głowackiego,Bartosza Głowackiego
,B. i E. Hutten-Czapskich,Bogdana i Eleonory Hutten-Czapskich
,B. i J. Moraczewskich,Bibianny i Jędrzeja Moraczewskich
,B. Krzywoustego,Bolesława Krzywoustego
,B. Leśmiana,Bolesława Leśmiana
,B. Limanowskiego,Bolesława Limanowskiego
,B. Prusa,Bolesława Prusa
,B. Wolniewicz,Barbary Wolniewicz
,Baczyńskiego,Krzysztofa Kamila Baczyńskiego
,Barcioka,Jana Barcioka
,Barlickiego,Norberta Barlickiego
,Bema,Józefa Bema
,Bernarda Ludwika Hantkego,Bernarda Hantkego
,Bieli,Teofila Bieli
,Bieni,Leona Bieni
,Biskupa L. Wetmańskiego,Biskupa Leona Wetmańskiego
,Biskupa Pluty,Wilhelma Pluty
,Bitwy Warszawskiej 1920 r.,Bitwy Warszawskiej 1920 roku
,Bitwy Warszawskiej 1920r.,Bitwy Warszawskiej 1920 roku
,Blaise Pascala,Blaise'a Pascala
,Boguckiego,Teofila Boguckiego
,Boh. Monte Cassino,Bohaterów Monte Cassino
,Boh. Powstania Listopadowego,Bohaterów Powstania Listopadowego
,Boh. Powstania Styczniowego,Bohaterów Powstania Styczniowego
,Boh. Warszawy,Bohaterów Warszawy
,Boh. Westerplatte,Bohaterów Westerplatte
,Bohaterów 1939 r.,Bohaterów 1939 roku
,Bohaterów Czerwca 1956 r.,Bohaterów Czerwca 1956 roku
,Bohaterów Radzymina 1920 r.,Bohaterów Radzymina 1920 roku
,Bohaterów Września 1939 r.,Bohaterów Września 1939 roku
,Boj. o Wolność i Demokrację,Bojowników o Wolność i Demokrację
,Boya Żeleńskiego,Tadeusza Boya-Żeleńskiego
,Bończyka,Księdza Norberta Bończyka
,bp. A. Szelążka,Biskupa Adolfa Szelążka
,bp. Adama Stanisława Grabowskiego,Biskupa Adama Stanisława Grabowskiego
,bp. Adama Śmigielskiego,Biskupa Adama Śmigielskiego
,bp. Antoniego Laubitza,Biskupa Antoniego Laubitza
,bp. Dominika,Biskupa Dominika
,bp. Edwarda Samsela,Biskupa Edwarda Samsela
,bp. Floriana Janowskiego,Biskupa Floriana Janowskiego
,bp. Franciszka Bardy,Biskupa Franciszka Bardy
,bp. Franciszka Śniegonia,Biskupa Franciszka Śniegonia
,bp. Hieronima Wierzbowskiego,Biskupa Hieronima Wierzbowskiego
,bp. Ignacego Krasickiego,Biskupa Ignacego Krasickiego
,bp. J. Chrapka,Biskupa Jana Chrapka
,bp. Jana Lubrańskiego,Biskupa Jana Lubrańskiego
,Bp. Jana Mazura,Biskupa Jana Mazura
,bp. Jana Stanisława Witwickiego,Biskupa Jana Stanisława Witwickiego
,bp. Jarosława,Biskupa Jarosława
,bp. Józefa Pelczara,Biskupa Józefa Pelczara
,bp. Józefa Sebastiana Pelczara,Biskupa Józefa Sebastiana Pelczara
,bp. K. Moszyńskiego,Biskupa Karola Moszyńskiego
,bp. Konstantyna Dominika,Biskupa Konstantyna Dominika
,Bp. M. Jaworskiego,Biskupa Mieczysława Jaworskiego
,bp. Marwicza,Biskupa Jana Nepomucena Marwicza
,bp. Okoniewskiego,Biskupa Wojciecha Okoniewskiego
,bp. Stanisława Adamskiego,Biskupa Stanisława Adamskiego
,bp. Stefana Siczka,Biskupa Stefana Siczka
,bp. Tylickiego,Biskupa Piotra Tylickiego
,bp. Wierzbowskiego,Biskupa Stefana Wierzbowskiego
,Bp. Wilhelma Pluty,Biskupa Wilhelma Pluty
,bpa J. S. Pelczara,Biskupa Józefa Sebastiana Pelczara
,bpa. Władysława Bandurskiego,Biskupa Władysława Bandurskiego
,Braci B. i W. Kordulów,Braci Bronisława i Władysława Kordulów
,Broniewskiego,Władysława Broniewskiego
,Bronisława Ostrowskiego ps. Cichy,"Bronisława Ostrowskiego ps. ""Cichy"""
,Bronisława Wieczorkiewicza ps. Wilk,"Bronisława Wieczorkiewicza ps. ""Wilk"""
,Brzechwy,Jana Brzechwy
,Brzozy,Teofila Brzozy
,Buczka,Mariana Buczka
,Bulwar Nadmorski im. Feliksa Nowowiejskiego,Bulwar Nadmorski Feliksa Nowowiejskiego
,bł. Adolfa Kolpinga,Błogosławionego Adolfa Kolpinga
,Bł. Anieli Salawy,Błogosławionej Anieli Salawy
,Bł. Bronisława Markiewicza,Błogosławionego Bronisława Markiewicza
,bł. Edmunda Bojanowskiego,Błogosławionego Edmunda Bojanowskiego
,bł. Franciszka Dachtery,Błogosławionego Franciszka Dachtery
,bł. Jerzego Popiełuszki,Błogosławionego Jerzego Popiełuszki
,bł. Jolanty,Błogosławionej Jolanty
,bł. Jolenty,Błogosławionej Jolenty
,bł. Julii Rodzińskiej,Błogosławionej Julii Rodzińskiej
,Bł. Juty,Błogosławionej Juty
,bł. Karoliny,Błogosławionej Karoliny
,Bł. Karoliny Kózkówny,Błogosławionej Karoliny Kózkówny
,bł. Królowej Jadwigi,Błogosławionej Królowej Jadwigi
,bł. ks. Antoniego Beszty-Borowskiego,Błogosławionego Księdza Antoniego Beszty-Borowskiego
,bł. ks. Edwarda Grzymały,Błogosławionego Księdza Edwarda Grzymały
,Bł. Ks. J. Popiełuszki,Błogosławionego Księdza Jerzego Popiełuszki
,bł. ks. Jerzego Popiełuszki,Błogosławionego Księdza Jerzego Popiełuszki
,bł. ks. Józefa Stanka,Błogosławionego Księdza Józefa Stanka
,bł. ks. kmdr. ppor. Władysława Miegonia,Błogosławionego Księdza Komandora Podporucznika Władysława Miegonia
,bł. ks. Kowalskiego,Błogosławionego Księdza Kowalskiego
,bł. ks. Mariana Skrzypczaka,Błogosławionego Księdza Mariana Skrzypczaka
,Bł. ks. Romana Sitki,Błogosławionego Księdza Romana Sitki
,Bł. Ks. Stanisława Kubisty,Błogosławionego Księdza Stanisława Kubisty
,bł. Księdza Dańkowskiego,Błogosławionego Księdza Dańkowskiego
,bł. Luigiego Novarese,Błogosławionego Luigiego Novarese
,bł. Marii Karłowskiej,Błogosławionej Marii Karłowskiej
,bł. Reginy Protmann,Błogosławionej Reginy Protmann
,bł. s. Marii Heliodory,Błogosławionej Siostry Marii Heliodory
,bł. Salomei,Błogosławionej Salomei
,bł. Siostry Faustyny,Błogosławionej Siostry Faustyny
,bł. Sykulskiego,Błogosławionego Kazimierza Sykulskiego
,bł. Wincentego Kadłubka,Błogosławionego Wincentego Kadłubka
,Bł. Władysława Findysza,Błogosławionego Władysława Findysza
,Błog. Faustyny,Błogosławionej Siostry Faustyny
,Błog. Królowej Jadwigi,Błogosławionej Królowej Jadwigi
,Błogosławionego Ks. Jerzego Popiełuszki,Błogosławionego Księdza Jerzego Popiełuszki
,C. Godebskiego,Cypriana Godebskiego
,C. K. Norwida,Cypriana Kamila Norwida
,C. Kamila Norwida,Cypriana Kamila Norwida
,C. Skłodowskiej,Marii Skłodowskiej-Curie
,Chałubińskiego,Tytusa Chałubińskiego
,Chełmońskiego,Józefa Chełmońskiego
,Chodkiewicza,Karola Chodkiewicza
,Chopina,Fryderyka Chopina
,Chopina Fryderyka,Fryderyka Chopina
,chor. Szorta,Chorążego Szorta
,Chrobrego,Bolesława Chrobrego
,Cieplaka,Zygmunta Cieplaka
,Ciołkowskiego,Konstantego Ciołkowskiego
,Curie-Skłodowskiej,Marii Skłodowskiej-Curie
,Cypriana K. Norwida,Cypriana Kamila Norwida
,Cz. Miłosza,Czesława Miłosza
,Damrota,Konstantego Damrota
,Darwina,Karola Darwina
,Daszyńskiego,Ignacego Daszyńskiego
,Derdowskiego,Hieronima Derdowskiego
,dh Mariana Tomaszewskiego,Druha Mariana Tomaszewskiego
,dh. Aleksandra Kamińskiego,Druha Aleksandra Kamińskiego
,dh. Józefa Glinkowskiego,Druha Józefa Glinkowskiego
,Doc. Adama Dowgirda,Docenta Adama Dowgirda
,Dolina j. Głębokiego,Dolina Jeziora Głębokiego
,Dr A. Pokrzywnickiego,Doktora Augusta Pokrzywnickiego
,dr Adama Wardyńskiego,Doktora Adama Wardyńskiego
,dr Aleksandra Dobkiewicza,Doktora Aleksandra Dobkiewicza
,dr Aleksandra Dubiskiego,Doktora Aleksandra Dubiskiego
,dr Aleksandra Jaworowskiego,Doktora Aleksandra Jaworowskiego
,dr Aleksandra Majkowskiego,Doktora Aleksandra Majkowskiego
,Dr Andrzeja,Doktora Andrzeja
,dr Andrzeja Mielęckiego,Doktora Andrzeja Mielęckiego
,dr Anny Wróbel,Doktor Anny Wróbel
,dr Antoniego Artymiaka,Doktora Antoniego Artymiaka
,dr Antoniego Gałązki,Doktora Antoniego Gałązki
,dr Antoniego i Janiny Docha,Doktorów Antoniego i Janiny Docha
,Dr Antoniego Jurasza,Doktora Antoniego Jurasza
,dr Antoniego Michałowskiego,Doktora Antoniego Michałowskiego
,dr Barbary Sztembis,Doktor Barbary Sztembis
,Dr Bronisława Hagera,Doktora Bronisława Hagera
,Dr E. Cyrana,Doktora Emila Cyrana
,Dr Edwarda Rittlera,Doktora Edwarda Rittlera
,Dr F. i Z. Tokarskich,Doktorów Feliksa i Zygmunta Tokarskich
,Dr Franciszka Kubacza,Doktora Franciszka Kubacza
,dr Genowefy Matusewicz,Doktor Genowefy Matusewicz
,dr H. Spoczyńskiej,Doktor Heleny Spoczyńskiej
,dr Hasińskiego,Doktora Zdzisława Hasińskiego
,dr Heleny i Wiktora Bujarskich,Doktorów Heleny i Wiktora Bujarskich
,Dr Henryka M. Szymańskiego,Doktora Henryka Szymańskiego
,dr Ignacego Nowaka,Doktora Ignacego Nowaka
,dr Ignacego Zimniaka,Doktora Ignacego Zimniaka
,dr inż. Tadeusza Sarnowskiego,Doktora Inżyniera Tadeusza Sarnowskiego
,Dr Ireneusza Wierzejewskiego,Doktora Ireneusza Wierzejewskiego
,dr Ireny Białówny,Doktora Ireny Białówny
,dr Jana Karczewskiego,Doktora Jana Karczewskiego
,dr Janusza Korczaka,Doktora Janusza Korczaka
,Dr Jordana,Doktora Henryka Jordana
,dr Juliana Smolika,Doktora Juliana Smolika
,dr Józefa Patryna,Doktora Józefa Patryna
,dr Józefa Rostka,Doktora Józefa Rostka
,dr Józefa Szczepańskiego,Doktora Józefa Szczepańskiego
,Dr Józefa Sztajna,Doktora Józefa Sztajna
,Dr Kazimierza Hołogi,Doktora Kazimierza Hołogi
,dr Kazimierza Niedzielskiego,Doktora Kazimierza Niedzielskiego
,Dr Ludwika Adamczyka,Doktora Ludwika Adamczyka
,dr Macieja Suwady,Doktora Macieja Suwady
,Dr Majkowskiego,Doktora Aleksandra Majkowskiego
,dr med. Kazimierza Frąckowskiego,Doktora Kazimierza Frąckowskiego
,Dr Michała Drozdowicza,Doktora Michała Drozdowicza
,dr Michała Grażyńskiego,Doktora Michała Grażyńskiego
,Dr Michała Marczaka,Doktora Michała Marczaka
,dr n. med. płk Stanisława Czyrnego,Doktora Pułkownika Stanisława Czyrnego
,Dr Olgi Lilien,Doktor Olgi Lilien
